heuristic, dimensions, error, runtime, iterations
minkowski-n, 3, 1.62996043684e-06, 0.003555, 13
null, 3, 0.0, 0.006267, 44
seuclidean, 3, nan, 0.007649, 20
sqeuclidean, 3, 2.9999998219e-06, 0.001823, 5
canberra, 3, 2.8125752749e-07, 0.002098, 6
chebyshev, 3, 4.99999970316e-07, 0.002088, 7
cityblock, 3, 6.14590845771e-07, 0.001089, 3
cosine, 3, 9.17517013477e-08, 0.005495, 21
euclidean, 3, 6.14590845771e-07, 0.001038, 3
hamming, 3, 4.99999970316e-07, 0.002837, 12
minkowski-0.5n, 3, 6.14590845771e-07, 0.001165, 3
minkowski-n, 3, 7.21124763459e-07, 0.001339, 4
null, 3, 0.0, 0.003736, 27
seuclidean, 3, nan, 0.003626, 9
sqeuclidean, 3, 6.14590845771e-07, 0.001099, 3
canberra, 3, 6.66666650773e-07, 0.001945, 6
chebyshev, 3, 4.99999970316e-07, 0.001798, 6
cityblock, 3, 9.99999954843e-07, 0.001481, 4
cosine, 3, 1.12701670218e-07, 0.004883, 17
euclidean, 3, 7.07106750042e-07, 0.001315, 4
hamming, 3, 3.33333318281e-07, 0.002487, 10
minkowski-0.5n, 3, 9.99999954843e-07, 0.001457, 4
minkowski-n, 3, 6.29960510423e-07, 0.001464, 4
null, 3, 0.0, 0.002568, 18
seuclidean, 3, nan, 0.002476, 6
sqeuclidean, 3, 9.99999954843e-07, 0.001444, 4
canberra, 3, 4.35132847088e-07, 0.0012, 4
chebyshev, 3, 4.99999970316e-07, 0.001544, 4
cityblock, 3, 1.03839255416e-06, 0.000923, 3
cosine, 3, 1.12701641797e-07, 0.002686, 11
euclidean, 3, 7.07106750042e-07, 0.001012, 3
hamming, 3, 3.33333318281e-07, 0.001712, 7
minkowski-0.5n, 3, 1.03839255416e-06, 0.000884, 3
minkowski-n, 3, 6.29960510423e-07, 0.001112, 3
null, 3, 0.0, 0.002003, 14
seuclidean, 3, nan, 0.005958, 26
sqeuclidean, 3, 1.03839255416e-06, 0.000851, 3
canberra, 3, 9.69407437879e-07, 0.001867, 5
chebyshev, 3, 4.99999970316e-07, 0.001101, 3
cityblock, 3, 1.41791949204e-06, 0.000985, 3
cosine, 3, 1.83772215223e-07, 0.003337, 14
euclidean, 3, 1.00984756557e-06, 0.001003, 3
hamming, 3, 4.99999970316e-07, 0.002934, 11
minkowski-0.5n, 3, 1.41791949204e-06, 0.001125, 3
minkowski-n, 3, 7.21124763459e-07, 0.000895, 3
null, 3, 0.0, 0.002043, 15
seuclidean, 3, nan, 0.004238, 16
sqeuclidean, 3, 1.41791949204e-06, 0.000923, 3
canberra, 3, 0.0, 0.000559, 2
chebyshev, 3, 0.0, 0.000493, 2
cityblock, 3, 0.0, 0.000535, 2
cosine, 3, 0.0, 0.000702, 2
euclidean, 3, 0.0, 0.000462, 2
hamming, 3, 0.0, 0.000491, 2
minkowski-0.5n, 3, 0.0, 0.000516, 2
minkowski-n, 3, 0.0, 0.000557, 2
null, 3, 0.0, 0.000233, 2
seuclidean, 3, nan, 0.005026, 23
sqeuclidean, 3, 0.0, 0.000476, 2
canberra, 3, 0.0, 0.00077, 2
chebyshev, 3, 0.0, 0.000656, 2
cityblock, 3, 0.0, 0.000766, 2
cosine, 3, 0.0, 0.000998, 2
euclidean, 3, 0.0, 0.000623, 2
hamming, 3, 0.0, 0.000624, 2
minkowski-0.5n, 3, 0.0, 0.000659, 2
minkowski-n, 3, 0.0, 0.000678, 2
null, 3, 0.0, 0.000253, 2
seuclidean, 3, nan, 0.010019, 43
sqeuclidean, 3, 0.0, 0.000624, 2
canberra, 3, 3.25360751674e-06, 0.001551, 6
chebyshev, 3, 4.99999970316e-07, 0.001497, 4
cityblock, 3, 9.99999969054e-07, 0.000921, 3
cosine, 3, nan, 0.006952, 33
euclidean, 3, 7.07106750042e-07, 0.000944, 3
hamming, 3, 3.33333318281e-07, 0.00457, 21
minkowski-0.5n, 3, 9.99999969054e-07, 0.001073, 3
minkowski-n, 3, 6.29960510423e-07, 0.000985, 3
null, 3, 0.0, 0.004235, 30
seuclidean, 3, nan, 0.007496, 32
sqeuclidean, 3, 9.99999969054e-07, 0.000921, 3
canberra, 3, 6.66666636562e-07, 0.002374, 10
chebyshev, 3, 4.99999970316e-07, 0.001592, 6
cityblock, 3, 5.10846504653e-07, 0.000774, 3
cosine, 3, 5.27863903699e-08, 0.00497, 20
euclidean, 3, 7.07106750042e-07, 0.001522, 5
hamming, 3, 3.33333318281e-07, 0.003324, 14
minkowski-0.5n, 3, 5.10846504653e-07, 0.001892, 3
minkowski-n, 3, 6.29960510423e-07, 0.002434, 6
null, 3, 0.0, 0.003666, 26
seuclidean, 3, nan, 0.003141, 7
sqeuclidean, 3, 5.10846504653e-07, 0.000771, 3
canberra, 3, 4.99999970316e-07, 0.00194, 6
chebyshev, 3, 4.99999970316e-07, 0.001731, 6
cityblock, 3, 4.99999970316e-07, 0.001097, 3
cosine, 3, 5.27863903699e-08, 0.006091, 26
euclidean, 3, 4.99999970316e-07, 0.001075, 3
hamming, 3, 1.66666652035e-07, 0.004083, 20
minkowski-0.5n, 3, 4.99999970316e-07, 0.001157, 3
minkowski-n, 3, 4.99999970316e-07, 0.001146, 3
null, 3, 0.0, 0.006778, 35
seuclidean, 3, nan, 0.006105, 17
sqeuclidean, 3, 4.99999970316e-07, 0.001119, 3
canberra, 3, 6.66666650773e-07, 0.002819, 9
chebyshev, 3, 4.99999970316e-07, 0.002354, 8
cityblock, 3, 9.99999969054e-07, 0.001306, 4
cosine, 3, 6.69872974868e-08, 0.006916, 27
euclidean, 3, 7.07106750042e-07, 0.001546, 5
hamming, 3, 3.33333332492e-07, 0.006479, 28
minkowski-0.5n, 3, 9.99999969054e-07, 0.001564, 4
minkowski-n, 3, 6.29960510423e-07, 0.001987, 7
null, 3, 0.0, 0.005241, 33
seuclidean, 3, nan, 0.007633, 18
sqeuclidean, 3, 9.99999969054e-07, 0.001381, 4
canberra, 3, 5.9999997859e-07, 0.002389, 8
chebyshev, 3, 4.99999970316e-07, 0.001416, 4
cityblock, 3, 9.56214023518e-07, 0.00092, 3
cosine, 3, 2.75444165254e-08, 0.00682, 25
euclidean, 3, 7.07106750042e-07, 0.001135, 3
hamming, 3, 3.33333318281e-07, 0.003807, 16
minkowski-0.5n, 3, 9.56214023518e-07, 0.000985, 3
minkowski-n, 3, 6.29960510423e-07, 0.001186, 3
null, 3, 0.0, 0.004084, 29
seuclidean, 3, nan, 0.005168, 12
sqeuclidean, 3, 9.56214023518e-07, 0.001016, 3
canberra, 3, 3.33333318281e-07, 0.002868, 10
chebyshev, 3, 4.99999970316e-07, 0.00175, 6
cityblock, 3, 9.99999969054e-07, 0.001108, 3
cosine, 3, 8.33333189121e-08, 0.004679, 18
euclidean, 3, 7.07106750042e-07, 0.001001, 3
hamming, 3, 3.33333318281e-07, 0.002989, 12
minkowski-0.5n, 3, 9.99999969054e-07, 0.001237, 3
minkowski-n, 3, 6.29960510423e-07, 0.001173, 3
null, 3, 0.0, 0.003333, 22
seuclidean, 3, nan, 0.006196, 16
sqeuclidean, 3, 9.99999969054e-07, 0.001079, 3
canberra, 3, 0.0, 0.000844, 3
chebyshev, 3, 0.0, 0.000488, 2
cityblock, 3, 0.0, 0.000485, 2
cosine, 3, 0.0, 0.002159, 6
euclidean, 3, 0.0, 0.000469, 2
hamming, 3, 0.0, 0.001181, 4
minkowski-0.5n, 3, 0.0, 0.000513, 2
minkowski-n, 3, 0.0, 0.000499, 2
null, 3, 0.0, 0.00111, 8
seuclidean, 3, nan, 0.000926, 2
sqeuclidean, 3, 0.0, 0.000481, 2
canberra, 3, 1.10885434879e-06, 0.002067, 8
chebyshev, 3, 4.99999970316e-07, 0.001214, 3
cityblock, 3, 1.10885434879e-06, 0.001209, 3
cosine, 3, 9.17517155585e-08, 0.004726, 21
euclidean, 3, 8.66025388291e-07, 0.001471, 4
hamming, 3, 4.99999970316e-07, 0.003883, 18
minkowski-0.5n, 3, 1.10885434879e-06, 0.001366, 3
minkowski-n, 3, 7.2112477767e-07, 0.001282, 3
null, 3, 0.0, 0.004838, 32
seuclidean, 3, nan, 0.005093, 16
sqeuclidean, 3, 1.10885434879e-06, 0.001341, 3
canberra, 3, 0.0, 0.000766, 2
chebyshev, 3, 0.0, 0.000493, 2
cityblock, 3, 0.0, 0.0005, 2
cosine, 3, 0.0, 0.000911, 3
euclidean, 3, 0.0, 0.00054, 2
hamming, 3, 0.0, 0.000502, 2
minkowski-0.5n, 3, 0.0, 0.000527, 2
minkowski-n, 3, 0.0, 0.000499, 2
null, 3, 0.0, 0.00023, 2
seuclidean, 3, nan, 0.003439, 8
sqeuclidean, 3, 0.0, 0.000489, 2
canberra, 3, 1.26666660094e-06, 0.005933, 27
chebyshev, 3, 1.49999992516e-06, 0.003718, 15
cityblock, 3, 2.03496053075e-06, 0.001615, 4
cosine, 3, 1.66232766219e-07, 0.008829, 45
euclidean, 3, 1.8251406857e-06, 0.002449, 8
hamming, 3, 6.6666660814e-07, 0.007879, 42
minkowski-0.5n, 3, 2.03496053075e-06, 0.001893, 4
minkowski-n, 3, 1.67000233375e-06, 0.003056, 9
null, 3, 0.0, 0.006463, 47
seuclidean, 3, nan, 0.008471, 33
sqeuclidean, 3, 3.03496048559e-06, 0.001549, 4
canberra, 3, 1.57602180195e-06, 0.002318, 8
chebyshev, 3, 1.49999989674e-06, 0.001519, 5
cityblock, 3, 2.07602175806e-06, 0.001615, 4
cosine, 3, 5.91751671664e-07, 0.005566, 21
euclidean, 3, 2.0857903138e-06, 0.00202, 6
hamming, 3, 6.66666636562e-07, 0.002697, 11
minkowski-0.5n, 3, 2.07602175806e-06, 0.001553, 4
minkowski-n, 3, 1.57721724747e-06, 0.001362, 4
null, 3, 0.0, 0.004001, 28
seuclidean, 3, nan, 0.003717, 11
sqeuclidean, 3, 3.07602169869e-06, 0.001444, 4
canberra, 3, 1.44999991392e-06, 0.003766, 14
chebyshev, 3, 1.49999992516e-06, 0.002409, 8
cityblock, 3, 2.17953450488e-06, 0.001439, 5
cosine, 3, 1.02194036344e-07, 0.008986, 37
euclidean, 3, 2.04086676092e-06, 0.001675, 5
hamming, 3, 8.33333288597e-07, 0.006819, 31
minkowski-0.5n, 3, 2.17953450488e-06, 0.001478, 5
minkowski-n, 3, 1.76116658679e-06, 0.001814, 5
null, 3, 0.0, 0.006485, 46
seuclidean, 3, nan, 0.009846, 35
sqeuclidean, 3, 3.17953445972e-06, 0.001081, 4
canberra, 3, 8.33333288597e-07, 0.002912, 12
chebyshev, 3, 4.99999970316e-07, 0.00194, 6
cityblock, 3, 1.17090375795e-06, 0.001453, 4
cosine, 3, 9.17517155585e-08, 0.006027, 33
euclidean, 3, 8.66025359869e-07, 0.001896, 6
hamming, 3, 4.99999970316e-07, 0.005332, 31
minkowski-0.5n, 3, 1.17090375795e-06, 0.001588, 4
minkowski-n, 3, 7.21124763459e-07, 0.002011, 6
null, 3, 0.0, 0.004979, 37
seuclidean, 3, nan, 0.005073, 21
sqeuclidean, 3, 1.17090375795e-06, 0.00141, 4
canberra, 3, 0.0, 0.000868, 2
chebyshev, 3, 0.0, 0.000646, 2
cityblock, 3, 0.0, 0.000661, 2
cosine, 3, 0.0, 0.001659, 5
euclidean, 3, 0.0, 0.001213, 2
hamming, 3, 0.0, 0.001409, 2
minkowski-0.5n, 3, 0.0, 0.00084, 2
minkowski-n, 3, 0.0, 0.000673, 2
null, 3, 0.0, 0.001132, 8
seuclidean, 3, nan, 0.004349, 17
sqeuclidean, 3, 0.0, 0.000639, 2
canberra, 3, 0.0, 0.000821, 3
chebyshev, 3, 0.0, 0.000493, 2
cityblock, 3, 0.0, 0.000474, 2
cosine, 3, 0.0, 0.002217, 8
euclidean, 3, 0.0, 0.000492, 2
hamming, 3, 0.0, 0.00169, 7
minkowski-0.5n, 3, 0.0, 0.000518, 2
minkowski-n, 3, 0.0, 0.000503, 2
null, 3, 0.0, 0.001532, 11
seuclidean, 3, nan, 0.001645, 4
sqeuclidean, 3, 0.0, 0.000515, 2
canberra, 3, 8.33333288597e-07, 0.002217, 8
chebyshev, 3, 4.99999970316e-07, 0.00095, 3
cityblock, 3, 1.7439037947e-06, 0.001059, 3
cosine, 3, 1.34851617872e-07, 0.004149, 17
euclidean, 3, 8.66025359869e-07, 0.000905, 3
hamming, 3, 4.99999970316e-07, 0.001835, 7
minkowski-0.5n, 3, 1.7439037947e-06, 0.001113, 3
minkowski-n, 3, 7.21124763459e-07, 0.000975, 3
null, 3, 0.0, 0.003098, 21
seuclidean, 3, nan, 0.004259, 13
sqeuclidean, 3, 1.7439037947e-06, 0.001058, 3
canberra, 3, 3.51344023386e-06, 0.001308, 4
chebyshev, 3, 4.99999970316e-07, 0.000876, 3
cityblock, 3, 1.11205747544e-06, 0.001007, 3
cosine, 3, 4.99999970316e-07, 0.00327, 13
euclidean, 3, 8.19164270638e-07, 0.001035, 3
hamming, 3, 4.99999970316e-07, 0.002426, 10
minkowski-0.5n, 3, 1.11205747544e-06, 0.001095, 3
minkowski-n, 3, 7.42018031019e-07, 0.001082, 3
null, 3, 0.0, 0.002945, 21
seuclidean, 3, nan, 0.004951, 22
sqeuclidean, 3, 1.11205747544e-06, 0.00103, 3
canberra, 3, 0.0, 0.000655, 2
chebyshev, 3, 0.0, 0.000495, 2
cityblock, 3, 0.0, 0.000483, 2
cosine, 3, 0.0, 0.001761, 5
euclidean, 3, 0.0, 0.000469, 2
hamming, 3, 0.0, 0.000491, 2
minkowski-0.5n, 3, 0.0, 0.000503, 2
minkowski-n, 3, 0.0, 0.000503, 2
null, 3, 0.0, 0.000829, 6
seuclidean, 3, nan, 0.010009, 49
sqeuclidean, 3, 0.0, 0.000491, 2
canberra, 3, 5.99999964379e-07, 0.003345, 11
chebyshev, 3, 4.99999970316e-07, 0.002587, 6
cityblock, 3, 9.99999954843e-07, 0.001291, 3
cosine, 3, 3.77498281523e-08, 0.008511, 43
euclidean, 3, 7.0710672162e-07, 0.001304, 3
hamming, 3, 3.33333318281e-07, 0.005308, 26
minkowski-0.5n, 3, 9.99999954843e-07, 0.001434, 3
minkowski-n, 3, 6.29960510423e-07, 0.001703, 4
null, 3, 0.0, 0.009006, 49
seuclidean, 3, nan, 0.007083, 20
sqeuclidean, 3, 9.99999954843e-07, 0.001326, 3
canberra, 3, 0.0, 0.000611, 2
chebyshev, 3, 0.0, 0.000506, 2
cityblock, 3, 0.0, 0.000503, 2
cosine, 3, 0.0, 0.001076, 2
euclidean, 3, 0.0, 0.000734, 2
hamming, 3, 0.0, 0.000506, 2
minkowski-0.5n, 3, 0.0, 0.000512, 2
minkowski-n, 3, 0.0, 0.000532, 2
null, 3, 0.0, 0.000234, 2
seuclidean, 3, nan, 0.01026, 46
sqeuclidean, 3, 0.0, 0.000586, 2
canberra, 3, 0.0, 0.001013, 3
chebyshev, 3, 0.0, 0.000505, 2
cityblock, 3, 0.0, 0.000505, 2
cosine, 3, 0.0, 0.0023, 7
euclidean, 3, 0.0, 0.000471, 2
hamming, 3, 0.0, 0.001558, 5
minkowski-0.5n, 3, 0.0, 0.000548, 2
minkowski-n, 3, 0.0, 0.000497, 2
null, 3, 0.0, 0.001285, 9
seuclidean, 3, nan, 0.003977, 9
sqeuclidean, 3, 0.0, 0.000485, 2
canberra, 3, 8.49999935326e-07, 0.003933, 14
chebyshev, 3, 1.49999989674e-06, 0.001812, 5
cityblock, 3, 2.92648596201e-06, 0.001221, 4
cosine, 3, 1.55208624619e-07, 0.006321, 28
euclidean, 3, 1.93185154274e-06, 0.001927, 5
hamming, 3, 8.33333274386e-07, 0.004802, 20
minkowski-0.5n, 3, 2.92648596201e-06, 0.001443, 4
minkowski-n, 3, 1.70717775916e-06, 0.00163, 5
null, 3, 0.0, 0.004336, 30
seuclidean, 3, nan, 0.005796, 13
sqeuclidean, 3, 3.92648591685e-06, 0.001246, 4
canberra, 3, 9.499999436e-07, 0.008382, 34
chebyshev, 3, 1.49999992516e-06, 0.006292, 23
cityblock, 3, 1.61837454016e-06, 0.001859, 4
cosine, 3, 1.18814625694e-07, 0.01158, 57
euclidean, 3, 1.86602528629e-06, 0.003104, 9
hamming, 3, 6.66666636562e-07, 0.011026, 44
minkowski-0.5n, 3, 1.61837454016e-06, 0.001939, 4
minkowski-n, 3, 1.72112468988e-06, 0.004666, 14
null, 3, 0.0, 0.009028, 59
seuclidean, 3, nan, 0.009269, 29
sqeuclidean, 3, 2.618374495e-06, 0.001746, 4
canberra, 3, 0.0, 0.002987, 3
chebyshev, 3, 0.0, 0.00076, 2
cityblock, 3, 0.0, 0.00066, 2
cosine, 3, 0.0, 0.003644, 12
euclidean, 3, 0.0, 0.000667, 2
hamming, 3, 0.0, 0.001194, 3
minkowski-0.5n, 3, 0.0, 0.000775, 2
minkowski-n, 3, 0.0, 0.000826, 2
null, 3, 0.0, 0.002173, 15
seuclidean, 3, nan, 0.010584, 46
sqeuclidean, 3, 0.0, 0.000757, 2
canberra, 3, 8.81188427115e-07, 0.002273, 7
chebyshev, 3, 4.99999970316e-07, 0.001815, 6
cityblock, 3, 8.81188427115e-07, 0.00147, 4
cosine, 3, 2.11324874044e-07, 0.006428, 30
euclidean, 3, 7.07106750042e-07, 0.001823, 4
hamming, 3, 3.33333318281e-07, 0.005638, 24
minkowski-0.5n, 3, 8.81188427115e-07, 0.001556, 4
minkowski-n, 3, 6.29960510423e-07, 0.001812, 5
null, 3, 0.0, 0.005217, 34
seuclidean, 3, nan, 0.010132, 45
sqeuclidean, 3, 8.81188427115e-07, 0.001354, 3
canberra, 3, 0.0, 0.000758, 2
chebyshev, 3, 0.0, 0.000637, 2
cityblock, 3, 0.0, 0.000606, 2
cosine, 3, 0.0, 0.001389, 3
euclidean, 3, 0.0, 0.000676, 2
hamming, 3, 0.0, 0.000673, 2
minkowski-0.5n, 3, 0.0, 0.000731, 2
minkowski-n, 3, 0.0, 0.0007, 2
null, 3, 0.0, 0.000405, 3
seuclidean, 3, nan, 0.00151, 3
sqeuclidean, 3, 0.0, 0.00061, 2
canberra, 3, 0.0, 0.000832, 2
chebyshev, 3, 0.0, 0.000667, 2
cityblock, 3, 0.0, 0.000636, 2
cosine, 3, 0.0, 0.003366, 8
euclidean, 3, 0.0, 0.000617, 2
hamming, 3, 0.0, 0.00118, 3
minkowski-0.5n, 3, 0.0, 0.000712, 2
minkowski-n, 3, 0.0, 0.00066, 2
null, 3, 0.0, 0.002331, 11
seuclidean, 3, nan, 0.007133, 20
sqeuclidean, 3, 0.0, 0.00066, 2
canberra, 3, 0.0, 0.00105, 3
chebyshev, 3, 0.0, 0.001128, 2
cityblock, 3, 0.0, 0.000667, 2
cosine, 3, 0.0, 0.003905, 14
euclidean, 3, 0.0, 0.000615, 2
hamming, 3, 0.0, 0.001699, 6
minkowski-0.5n, 3, 0.0, 0.000693, 2
minkowski-n, 3, 0.0, 0.000687, 2
null, 3, 0.0, 0.002584, 17
seuclidean, 3, nan, 0.006864, 31
sqeuclidean, 3, 0.0, 0.000653, 2
canberra, 3, 0.0, 0.00147, 2
chebyshev, 3, 0.0, 0.000737, 2
cityblock, 3, 0.0, 0.000721, 2
cosine, 3, 0.0, 0.001782, 4
euclidean, 3, 0.0, 0.000643, 2
hamming, 3, 0.0, 0.000658, 2
minkowski-0.5n, 3, 0.0, 0.000681, 2
minkowski-n, 3, 0.0, 0.00069, 2
null, 3, 0.0, 0.000742, 4
seuclidean, 3, nan, 0.015652, 59
sqeuclidean, 3, 0.0, 0.000686, 2
canberra, 3, 4.99999970316e-07, 0.002603, 8
chebyshev, 3, 4.99999970316e-07, 0.001334, 4
cityblock, 3, 1.13048825767e-06, 0.001138, 3
cosine, 3, 9.17517013477e-08, 0.004085, 16
euclidean, 3, 8.66025359869e-07, 0.001515, 4
hamming, 3, 4.99999970316e-07, 0.003421, 16
minkowski-0.5n, 3, 1.13048825767e-06, 0.001376, 3
minkowski-n, 3, 7.2112477767e-07, 0.000914, 3
null, 3, 0.0, 0.002842, 20
seuclidean, 3, nan, 0.005371, 15
sqeuclidean, 3, 1.13048825767e-06, 0.001214, 3
canberra, 3, 0.0, 0.001371, 2
chebyshev, 3, 0.0, 0.000808, 2
cityblock, 3, 0.0, 0.000674, 2
cosine, 3, 0.0, 0.003527, 13
euclidean, 3, 0.0, 0.000662, 2
hamming, 3, 0.0, 0.001401, 5
minkowski-0.5n, 3, 0.0, 0.000897, 2
minkowski-n, 3, 0.0, 0.000785, 2
null, 3, 0.0, 0.002483, 17
seuclidean, 3, nan, 0.010535, 45
sqeuclidean, 3, 0.0, 0.000839, 2
canberra, 3, 3.33333318281e-07, 0.002326, 7
chebyshev, 3, 4.99999970316e-07, 0.001449, 5
cityblock, 3, 7.06330723688e-07, 0.000812, 3
cosine, 3, 2.85954797619e-08, 0.003521, 16
euclidean, 3, 7.07106750042e-07, 0.001121, 4
hamming, 3, 3.33333318281e-07, 0.002493, 11
minkowski-0.5n, 3, 7.06330723688e-07, 0.001243, 3
minkowski-n, 3, 6.29960510423e-07, 0.001269, 4
null, 3, 0.0, 0.002798, 19
seuclidean, 3, nan, 0.00368, 10
sqeuclidean, 3, 7.06330723688e-07, 0.000819, 3
canberra, 3, 0.0, 0.000871, 2
chebyshev, 3, 0.0, 0.000487, 2
cityblock, 3, 0.0, 0.000428, 2
cosine, 3, 0.0, 0.001793, 5
euclidean, 3, 0.0, 0.000405, 2
hamming, 3, 0.0, 0.000398, 2
minkowski-0.5n, 3, 0.0, 0.000403, 2
minkowski-n, 3, 0.0, 0.000398, 2
null, 3, 0.0, 0.000873, 6
seuclidean, 3, nan, 0.00588, 27
sqeuclidean, 3, 0.0, 0.000434, 2
canberra, 3, 1.16666657846e-06, 0.002575, 7
chebyshev, 3, 1.49999989674e-06, 0.002048, 4
cityblock, 3, 1.99999988126e-06, 0.002045, 4
cosine, 3, 2.38198310853e-07, 0.006374, 25
euclidean, 3, 1.61803387755e-06, 0.001657, 4
hamming, 3, 4.99999956105e-07, 0.003818, 16
minkowski-0.5n, 3, 1.99999988126e-06, 0.002026, 4
minkowski-n, 3, 1.54004180786e-06, 0.001791, 4
null, 3, 0.0, 0.005173, 29
seuclidean, 3, nan, 0.007952, 29
sqeuclidean, 3, 2.9999998219e-06, 0.001979, 4
canberra, 3, 0.0, 0.00149, 3
chebyshev, 3, 0.0, 0.000953, 2
cityblock, 3, 0.0, 0.000858, 2
cosine, 3, 0.0, 0.005069, 14
euclidean, 3, 0.0, 0.001, 2
hamming, 3, 0.0, 0.002267, 6
minkowski-0.5n, 3, 0.0, 0.001166, 2
minkowski-n, 3, 0.0, 0.00114, 2
null, 3, 0.0, 0.003457, 20
seuclidean, 3, nan, 0.010118, 33
sqeuclidean, 3, 0.0, 0.000921, 2
canberra, 3, 1.66666652035e-07, 0.001912, 7
chebyshev, 3, 4.99999970316e-07, 0.000987, 3
cityblock, 3, 4.99999970316e-07, 0.001323, 3
cosine, 3, 2.56583660985e-08, 0.004895, 21
euclidean, 3, 4.99999970316e-07, 0.00101, 3
hamming, 3, 1.66666652035e-07, 0.00291, 14
minkowski-0.5n, 3, 4.99999970316e-07, 0.001077, 3
minkowski-n, 3, 4.99999970316e-07, 0.001009, 3
null, 3, 0.0, 0.003291, 22
seuclidean, 3, nan, 0.006902, 25
sqeuclidean, 3, 4.99999970316e-07, 0.000978, 3
canberra, 3, 1.09999996312e-06, 0.003614, 12
chebyshev, 3, 4.99999970316e-07, 0.002139, 6
cityblock, 3, 1.49999992516e-06, 0.001363, 3
cosine, 3, 9.17517013477e-08, 0.006405, 30
euclidean, 3, 8.66025388291e-07, 0.001211, 3
hamming, 3, 4.99999970316e-07, 0.005821, 26
minkowski-0.5n, 3, 1.49999992516e-06, 0.001384, 3
minkowski-n, 3, 7.21124763459e-07, 0.001243, 3
null, 3, 0.0, 0.005881, 37
seuclidean, 3, nan, 0.0069, 29
sqeuclidean, 3, 1.49999992516e-06, 0.001192, 3
canberra, 3, 6.66666650773e-07, 0.002677, 9
chebyshev, 3, 4.99999970316e-07, 0.00194, 6
cityblock, 3, 9.99999969054e-07, 0.001259, 4
cosine, 3, 5.27863903699e-08, 0.003798, 18
euclidean, 3, 7.07106750042e-07, 0.001076, 4
hamming, 3, 3.33333318281e-07, 0.00337, 16
minkowski-0.5n, 3, 9.99999969054e-07, 0.001292, 4
minkowski-n, 3, 6.29960510423e-07, 0.001403, 5
null, 3, 0.0, 0.002889, 22
seuclidean, 3, nan, 0.003692, 12
sqeuclidean, 3, 9.99999969054e-07, 0.001166, 4
canberra, 3, 6.66666650773e-07, 0.002515, 9
chebyshev, 3, 4.99999970316e-07, 0.002143, 6
cityblock, 3, 9.99999969054e-07, 0.001264, 4
cosine, 3, 6.69872832759e-08, 0.005939, 28
euclidean, 3, 7.07106750042e-07, 0.001709, 5
hamming, 3, 3.33333318281e-07, 0.00382, 18
minkowski-0.5n, 3, 9.99999969054e-07, 0.001281, 4
minkowski-n, 3, 6.29960510423e-07, 0.002143, 6
null, 3, 0.0, 0.004479, 33
seuclidean, 3, nan, 0.003169, 9
sqeuclidean, 3, 9.99999969054e-07, 0.001201, 4
canberra, 3, 0.0, 0.000779, 2
chebyshev, 3, 0.0, 0.000683, 2
cityblock, 3, 0.0, 0.000592, 2
cosine, 3, 0.0, 0.003033, 10
euclidean, 3, 0.0, 0.000659, 2
hamming, 3, 0.0, 0.001332, 4
minkowski-0.5n, 3, 0.0, 0.000673, 2
minkowski-n, 3, 0.0, 0.000691, 2
null, 3, 0.0, 0.001877, 13
seuclidean, 3, nan, 0.008336, 35
sqeuclidean, 3, 0.0, 0.000618, 2
canberra, 3, 5.36018646358e-07, 0.00206, 5
chebyshev, 3, 4.99999970316e-07, 0.000804, 3
cityblock, 3, 1.15210667673e-06, 0.001054, 3
cosine, 3, 9.17517155585e-08, 0.003545, 12
euclidean, 3, 8.49044681672e-07, 0.000831, 3
hamming, 3, 4.99999970316e-07, 0.002367, 9
minkowski-0.5n, 3, 1.15210667673e-06, 0.001154, 3
minkowski-n, 3, 7.71898413632e-07, 0.000888, 3
null, 3, 0.0, 0.001868, 13
seuclidean, 3, nan, 0.010009, 47
sqeuclidean, 3, 1.15210667673e-06, 0.001055, 3
canberra, 3, 3.33333332492e-07, 0.002685, 12
chebyshev, 3, 4.99999970316e-07, 0.002026, 7
cityblock, 3, 9.99999969054e-07, 0.001045, 4
cosine, 3, 2.85954797619e-08, 0.004793, 25
euclidean, 3, 7.07106750042e-07, 0.001516, 6
hamming, 3, 3.33333332492e-07, 0.002889, 14
minkowski-0.5n, 3, 9.99999969054e-07, 0.001206, 4
minkowski-n, 3, 6.29960510423e-07, 0.00167, 6
null, 3, 0.0, 0.0039, 28
seuclidean, 3, nan, 0.005182, 23
sqeuclidean, 3, 9.99999969054e-07, 0.001058, 4
canberra, 3, 0.0, 0.002209, 6
chebyshev, 3, 0.0, 0.000695, 2
cityblock, 3, 0.0, 0.000612, 2
cosine, 3, 0.0, 0.004633, 15
euclidean, 3, 0.0, 0.00062, 2
hamming, 3, 0.0, 0.00233, 7
minkowski-0.5n, 3, 0.0, 0.000703, 2
minkowski-n, 3, 0.0, 0.000701, 2
null, 3, 0.0, 0.002492, 17
seuclidean, 3, nan, 0.015712, 45
sqeuclidean, 3, 0.0, 0.000658, 2
canberra, 3, 3.33333318281e-07, 0.002138, 8
chebyshev, 3, 4.99999970316e-07, 0.001026, 4
cityblock, 3, 6.89422122946e-07, 0.00066, 3
cosine, 3, 5.55555601522e-08, 0.003654, 13
euclidean, 3, 7.07106750042e-07, 0.001018, 4
hamming, 3, 3.33333318281e-07, 0.002449, 10
minkowski-0.5n, 3, 6.89422122946e-07, 0.000725, 3
