heuristic, dimensions, error, runtime, iterations
canberra, 2, 3.33333318281e-07, 0.00106, 6
chebyshev, 2, 4.99999970316e-07, 0.00103, 5
cityblock, 2, 9.99999954843e-07, 0.000588, 3
cosine, 2, 0.0, 0.001447, 9
euclidean, 2, 7.07106750042e-07, 0.000875, 5
hamming, 2, 4.99999970316e-07, 0.001088, 7
minkowski-0.5n, 2, 9.99999954843e-07, 0.000587, 3
minkowski-n, 2, 7.07106750042e-07, 0.001081, 5
null, 2, 0.0, 0.001158, 10
seuclidean, 2, nan, 0.001564, 7
sqeuclidean, 2, 9.99999954843e-07, 0.000568, 3
canberra, 2, 5.9999997859e-07, 0.000516, 3
chebyshev, 2, 4.99999970316e-07, 0.000509, 3
cityblock, 2, 7.71936853994e-07, 0.000553, 3
cosine, 2, 2.56583376768e-08, 0.000986, 5
euclidean, 2, 7.07106750042e-07, 0.000706, 4
hamming, 2, 4.99999970316e-07, 0.000844, 5
minkowski-0.5n, 2, 7.71936853994e-07, 0.000573, 3
minkowski-n, 2, 7.07106750042e-07, 0.000805, 4
null, 2, 0.0, 0.000584, 5
seuclidean, 2, nan, 0.00252, 13
sqeuclidean, 2, 7.71936853994e-07, 0.000534, 3
canberra, 2, 1.41666657782e-06, 0.001262, 7
chebyshev, 2, 1.49999989674e-06, 0.001026, 5
cityblock, 2, 2.99999980768e-06, 0.00123, 6
cosine, 2, 1.36761244107e-07, 0.002411, 12
euclidean, 2, 2.12132020749e-06, 0.000747, 4
hamming, 2, 9.99999926421e-07, 0.001879, 11
minkowski-0.5n, 2, 2.99999980768e-06, 0.00124, 6
minkowski-n, 2, 2.12132020749e-06, 0.000809, 4
null, 2, 0.0, 0.001396, 12
seuclidean, 2, nan, 0.002718, 13
sqeuclidean, 2, 4.70081043602e-06, 0.001089, 5
canberra, 2, 3.33333318281e-07, 0.001106, 7
chebyshev, 2, 4.99999970316e-07, 0.000822, 5
cityblock, 2, 9.99999969054e-07, 0.000885, 4
cosine, 2, 0.0, 0.001782, 10
euclidean, 2, 7.07106750042e-07, 0.000789, 4
hamming, 2, 4.99999970316e-07, 0.001098, 7
