cosine, 3, nan, 0.080635, 83
euclidean, 3, 4.23430722947e-05, 0.006517, 6
minkowski-0.5n, 3, 8.16014466665e-05, 0.007183, 6
minkowski-n, 3, 3.34338211303e-05, 0.008297, 7
seuclidean, 3, 5.92187276993e-06, 0.074678, 43
sqeuclidean, 3, 0.000594953965404, 0.010328, 6
canberra, 3, 0.0, 0.026988, 17
chebyshev, 3, 1.4837663457e-05, 0.012713, 7
cityblock, 3, 5.72387374831e-05, 0.010337, 6
cosine, 3, nan, 0.065228, 71
euclidean, 3, 2.89572279257e-05, 0.00718, 6
minkowski-0.5n, 3, 5.72387374831e-05, 0.007565, 6
minkowski-n, 3, 3.89734090049e-05, 0.008522, 7
seuclidean, 3, 1.90953066692e-06, 0.057916, 48
sqeuclidean, 3, 0.000589915155786, 0.007258, 6
canberra, 3, 0.0, 0.03555, 36
chebyshev, 3, 1.0916588252e-05, 0.007514, 6
cityblock, 3, 6.40576026711e-05, 0.007242, 6
cosine, 3, nan, 0.075216, 64
euclidean, 3, 2.85550374173e-05, 0.010281, 6
minkowski-0.5n, 3, 6.40576026711e-05, 0.011526, 6
minkowski-n, 3, 2.04406055673e-05, 0.011422, 6
seuclidean, 3, 9.34835824751e-07, 0.078637, 51
sqeuclidean, 3, 0.000586057423874, 0.010735, 6
canberra, 3, 0.0, 0.159488, 137
chebyshev, 3, 2.28622468512e-05, 0.010898, 7
cityblock, 3, 6.90862446362e-05, 0.008046, 6
cosine, 3, nan, 0.101175, 83
euclidean, 3, 6.01985532995e-05, 0.009439, 8
minkowski-0.5n, 3, 6.90862446362e-05, 0.011496, 6
minkowski-n, 3, 5.91072649314e-05, 0.013088, 9
seuclidean, 3, 4.3608976199e-06, 0.070313, 52
sqeuclidean, 3, 0.000597102167262, 0.008215, 6
canberra, 3, 0.0, 0.019873, 17
chebyshev, 3, 2.78444900914e-05, 0.009986, 8
cityblock, 3, 9.10231677977e-05, 0.008998, 7
cosine, 3, nan, 0.070057, 70
euclidean, 3, 4.70078324497e-05, 0.007844, 7
minkowski-0.5n, 3, 9.10231677977e-05, 0.008486, 7
minkowski-n, 3, 3.92154149154e-05, 0.008788, 7
seuclidean, 3, 2.53664028094e-06, 0.088666, 78
sqeuclidean, 3, 0.000595236115103, 0.00767, 6
canberra, 3, 2.15777751578e-06, 0.031961, 28
chebyshev, 3, 1.64822301656e-05, 0.011911, 7
cityblock, 3, 0.00010500593028, 0.014167, 8
cosine, 3, nan, 0.08738, 100
euclidean, 3, 5.40637580428e-05, 0.011225, 9
minkowski-0.5n, 3, 0.00010500593028, 0.010177, 8
minkowski-n, 3, 4.68877307895e-05, 0.010702, 9
seuclidean, 3, 0.0, 0.076447, 72
sqeuclidean, 3, 0.000592094768237, 0.007099, 6
canberra, 3, 0.0, 0.015944, 15
chebyshev, 3, 3.17376041465e-05, 0.008068, 8
cityblock, 3, 9.68759533322e-05, 0.007777, 7
cosine, 3, nan, 0.067398, 80
euclidean, 3, 4.64605983694e-05, 0.00624, 6
minkowski-0.5n, 3, 9.68759533322e-05, 0.008309, 7
minkowski-n, 3, 4.76836626433e-05, 0.008621, 8
seuclidean, 3, 1.15429888581e-05, 0.079989, 65
sqeuclidean, 3, 0.000602115510475, 0.0072, 6
canberra, 3, 0.0, 0.020635, 22
chebyshev, 3, 1.08178062277e-05, 0.007022, 6
cityblock, 3, 5.5513757502e-05, 0.008663, 6
cosine, 3, nan, 0.07848, 77
euclidean, 3, 4.3067259341e-05, 0.009041, 8
minkowski-0.5n, 3, 5.5513757502e-05, 0.006905, 6
minkowski-n, 3, 3.33182956354e-05, 0.009721, 8
seuclidean, 3, 3.50714246622e-06, 0.058119, 54
sqeuclidean, 3, 0.000594507719271, 0.00664, 6
canberra, 3, 0.0, 0.036719, 20
chebyshev, 3, 2.39217121276e-05, 0.008908, 8
cityblock, 3, 9.96625465035e-05, 0.008237, 7
cosine, 3, nan, 0.058181, 61
euclidean, 3, 4.26284105544e-05, 0.007319, 7
minkowski-0.5n, 3, 9.96625465035e-05, 0.00814, 7
minkowski-n, 3, 3.14215426158e-05, 0.007357, 7
seuclidean, 3, 1.55558484494e-06, 0.049819, 42
sqeuclidean, 3, 0.000595801244756, 0.006576, 6
canberra, 4, 0.0, 0.037162, 15
chebyshev, 4, 1.80645506163e-05, 0.026684, 7
cityblock, 4, 0.000109401858055, 0.028345, 6
cosine, 4, nan, 0.405574, 115
euclidean, 4, 5.65526790979e-05, 0.027003, 7
minkowski-0.5n, 4, 5.65526790979e-05, 0.024133, 7
minkowski-n, 4, 3.47606756748e-05, 0.024436, 7
seuclidean, 4, 3.01931018498e-06, 0.306252, 99
sqeuclidean, 4, 0.000795338263202, 0.020961, 6
canberra, 4, 0.0, 0.033862, 11
chebyshev, 4, 2.10306280337e-05, 0.026034, 7
cityblock, 4, 0.000122333307601, 0.023617, 7
cosine, 4, nan, 0.941992, 192
euclidean, 4, 6.39487366243e-05, 0.025515, 8
minkowski-0.5n, 4, 6.39487366243e-05, 0.026407, 8
minkowski-n, 4, 2.63618879615e-05, 0.021746, 7
seuclidean, 4, 1.48375710864e-05, 0.399871, 125
sqeuclidean, 4, 0.00079850091727, 0.02386, 6
canberra, 4, 0.0, 0.042753, 13
chebyshev, 4, 1.22427238409e-05, 0.018888, 6
cityblock, 4, 0.000122101708115, 0.023561, 7
cosine, 4, nan, 0.787676, 170
euclidean, 4, 5.21898134451e-05, 0.023104, 7
minkowski-0.5n, 4, 5.21898134451e-05, 0.026218, 7
minkowski-n, 4, 3.24332902721e-05, 0.024366, 7
seuclidean, 4, 9.90942012891e-06, 0.303058, 94
sqeuclidean, 4, 0.00079646017916, 0.020969, 6
canberra, 4, 0.0, 0.038299, 11
chebyshev, 4, 1.75046467064e-05, 0.025754, 7
cityblock, 4, 9.72620631217e-05, 0.0203, 6
cosine, 4, nan, 0.130084, 40
euclidean, 4, 4.9435064156e-05, 0.022406, 7
minkowski-0.5n, 4, 4.9435064156e-05, 0.024355, 7
minkowski-n, 4, 2.95954024807e-05, 0.023228, 7
seuclidean, 4, 1.16458160733e-05, 0.223793, 59
sqeuclidean, 4, 0.000793261867486, 0.020572, 6
canberra, 4, 0.0, 0.034954, 11
chebyshev, 4, 1.43965036585e-05, 0.020026, 7
cityblock, 4, 0.000120106794355, 0.022658, 7
cosine, 4, nan, 0.253727, 68
euclidean, 4, 3.85875057702e-05, 0.023108, 7
minkowski-0.5n, 4, 3.85875057702e-05, 0.024485, 7
minkowski-n, 4, 2.85533022719e-05, 0.020464, 6
seuclidean, 4, 3.77215005187e-06, 0.165746, 44
sqeuclidean, 4, 0.000798383351764, 0.02366, 6
canberra, 4, 0.0, 0.071323, 14
chebyshev, 4, 2.28418375059e-05, 0.039967, 7
cityblock, 4, 8.08592323267e-05, 0.032528, 6
